seq,xcol, ycol
0,1222.6846, 507.52646
1,883.9767, 475.85657
2,484.1191, 849.70703
3,0.0, 970.2478
4,1549.9879, 5471.282
5,0.0, 5529.537
6,219.46782, 5617.395
7,755.0307, 5386.3804
8,3815.7788, 6341.6094
9,1035.8842, 1222.6846
10,311.87363, 1802.0868
11,787.9762, 5060.528
12,4650.949, 2098.5964
13,1594.27, 602.4809
14,0.0, 616.235
15,1520.4125, 526.7995
16,0.0, 5250.601
17,13.809202, 3714.9844
18,1635.7748, 415.24753
19,0.0, 4979.8804
20,1423.3438, 4146.9443
21,0.0, 695.96765
22,0.0, 4246.719
23,1191.3864, 4703.8403
24,2270.4224, 4043.2144
25,728.93854, 800.32684
26,2255.3135, 5696.9414
27,1005.8116, 807.1874
28,763.26843, 474.47943
29,387.68857, 779.7412
30,201.53265, 664.3582
31,2661.9814, 841.47955
32,2023.6423, 5115.889
33,1743.7505, 4547.5186
34,923.70514, 955.1942
35,0.0, 701.46375
36,1457.094, 1061.8406
37,3955.2864, 4837.2065
38,1709.1704, 4884.0435
39,2755.8738, 4954.0884
40,3915.4365, 5829.59
41,1296.0544, 1984.638
42,940.1365, 515.78674
43,1496.184, 3842.343
44,81.46319, 4259.3623
45,569.46313, 400.0908
46,2389.993, 5537.813
47,650.6113, 5754.429
48,466.21622, 1451.6971
49,3790.981, 1100.0648
50,683.60016, 546.0691
51,719.3234, 3371.844
52,1845.6769, 5598.4287
53,1976.8188, 507.52646
54,2577.5256, 764.64136
55,2597.6287, 6082.225
56,1845.6769, 5501.2974
57,0.0, 543.31647
58,56.612915, 770.13257
59,0.0, 1477.3213
60,1427.3962, 4358.5522
61,938.7674, 5874.316
62,0.0, 526.7995
63,3589.2544, 6175.457
64,2960.9617, 798.95465
65,0.0, 5603.988
66,2041.7909, 901.7893
67,1923.2333, 834.62256
68,1492.1433, 1531.172
69,433.1578, 728.93854
70,3050.682, 6061.772
71,0.0, 728.93854
72,44.1868, 834.62256
73,0.0, 460.7071
74,0.0, 1807.378
75,1161.4237, 1011.2807
76,3056.743, 5226.0913
77,733.05896, 5063.1865
78,2043.0859, 5140.8906
79,1011.2807, 3263.7632
80,3401.3093, 5136.9155
81,2376.415, 1049.5472
82,5309.6406, 3498.8738
83,1361.1262, 424.8918
84,1694.5172, 6207.422
85,1091.8767, 2013.2562
86,4042.7402, 6423.272
87,1619.7196, 5398.6865
88,3313.8506, 5154.983
89,1559.3893, 1637.112
90,1572.8124, 1755.7021
91,1501.5704, 424.8918
92,815.41907, 4651.6104
93,975.7207, 3875.607
94,1580.8618, 875.7537
95,2.7618992, 4755.898
96,949.7192, 5144.5225
97,2918.5796, 6511.233
98,0.0, 554.3264
99,504.77292, 882.60626
100,4191.3276, 6292.251
101,3441.6162, 4602.375
102,3534.2532, 5867.05
103,1012.6479, 2399.847
104,870.2711, 491.00412
105,970.2478, 629.98706
106,3978.431, 6355.8633
107,3411.282, 5239.2915
108,2099.883, 602.4809
109,1351.6458, 5948.1914
110,3351.3108, 957.9316
111,723.44434, 756.40375
112,3508.1924, 5082.3228
113,184.97559, 676.7285
114,3423.6548, 4837.2065
115,2324.2737, 4025.5066
116,1679.8508, 5744.606
117,2160.1375, 543.31647
118,515.78674, 733.05896
119,373.90698, 926.44403
120,1653.1516, 5356.2183
121,1225.4049, 4097.932
122,3414.5913, 4324.9097
123,1390.9008, 1924.5433
124,682.2259, 570.8391
125,1844.3582, 6158.361
126,0.0, 680.85156
127,1293.34, 3698.4836
128,2659.6604, 5904.2446
129,0.0, 404.22464
130,1455.7449, 5317.752
131,1366.5422, 4403.2314
132,2000.258, 6037.055
133,1525.793, 5347.8857
134,3536.5283, 5318.8096
135,3091.7686, 708.3333
136,506.1497, 4383.9
137,147.71706, 886.71747
138,0.0, 4620.085
139,2087.0066, 5038.989
140,2627.012, 5702.883
141,2010.658, 2079.2715
142,1102.7938, 511.65668
143,2499.783, 6470.22
144,0.0, 5133.3496
145,1260.7488, 4399.5273
146,6614.597, 2873.333
147,1816.6328, 3781.7634
148,1630.4247, 1033.1511
149,1955.9391, 654.7356
150,620.36084, 1135.528
151,530.92896, 1063.2063
152,0.0, 2558.5166
153,6055.3057, 7103.2085
154,1795.4698, 4312.2197
155,3744.7341, 6107.1636
156,1416.5883, 4196.915
157,0.0, 638.2373
158,2245.222, 3890.1729
159,1281.1222, 1954.6328
160,1101.4293, 591.4762
161,0.0, 672.6053
162,3726.0703, 526.7995
163,3953.2017, 5534.18
164,1228.125, 517.1634
165,4263.411, 5959.5635
166,321.52493, 2537.0305
167,3622.9944, 6036.8755
168,1323.1852, 506.1497
169,6707.718, 3859.1096
170,0.0, 499.2656
171,4934.473, 1009.9135
172,4041.3164, 5727.243
173,1331.3196, 651.9861
174,3327.0164, 5400.6196
175,0.0, 434.5354
176,2914.303, 5375.246
177,0.0, 2267.9067
178,2933.493, 933.29065
179,1247.1594, 5885.5176
180,1771.6226, 3680.3945
181,930.5521, 2617.633
182,1783.5513, 4924.447
183,0.0, 741.2991
184,2181.8193, 6432.246
185,1221.3243, 6579.6445
186,0.0, 616.235
187,1520.4125, 1289.268
188,1253.9547, 1146.4335
189,2049.558, 2720.6765
190,213.9495, 5113.771
191,2004.1593, 779.7412
192,981.1931, 433.1578
193,2557.3257, 3683.7656
194,1763.6646, 4253.065
195,2171.6238, 5566.744
196,2737.7537, 6013.649
197,2341.7058, 3884.5955
198,1117.8002, 433.1578
199,4295.099, 6661.4185
200,3626.5305, 5514.204
201,5593.977, 1812.6674
202,0.0, 4302.4814
203,3576.0894, 5536.4893
204,2886.3374, 4565.1074
205,3050.682, 5106.1343
206,3163.948, 6254.699
207,1420.6418, 2354.126
208,2486.4937, 3522.052
209,0.0, 573.59094
210,3288.0967, 6398.965
211,1551.3312, 675.3541
212,2090.8716, 3024.2273
213,763.26843, 2004.1593
214,3222.443, 6401.341
215,3729.9573, 5504.2153
216,631.3622, 1042.7162
217,0.0, 1139.6179
218,0.0, 882.60626
219,2419.5007, 6339.488
220,373.90698, 459.32977
221,155.99733, 4546.7554
222,1630.4247, 2789.5784
223,1192.7477, 3660.65
224,22.094366, 1392.2534
225,0.0, 1562.0746
226,1065.9376, 2735.4817
227,1392.2534, 6407.6045
228,3646.145, 737.17914
229,2203.439, 3107.5916
230,1932.4008, 6353.8516
231,3360.7551, 5536.7773
232,4566.1, 6100.9546
233,2544.2043, 4463.043
234,2866.8079, 3444.0483
235,0.0, 734.4324
236,1972.907, 451.06552
237,2592.9075, 580.4703
238,1866.7584, 445.55573
239,1286.5529, 3448.9006
240,1267.5414, 5336.9985
241,3471.3298, 6182.8994
242,547.4454, 1875.9703
243,1927.1631, 4600.9585
244,1654.4875, 6553.6343
245,1782.2263, 5567.0737
246,3497.3145, 1446.2991
247,0.0, 709.70715
248,0.0, 760.52264
249,259.47055, 579.0945
250,612.10895, 5829.446
251,0.0, 625.86163
252,0.0, 770.13257
253,1914.0583, 5874.316
254,2120.445, 5569.1553
255,89.74602, 3272.8157
256,327.0397, 6468.1753
257,0.0, 397.33484
258,298.085, 4765.8975
259,6.904693, 3600.8428
